channel,snr,mean_intensity,coverage_pct,signal_mean,background_mean,median_intensity,max_intensity,min_intensity,cell_density,n_rois
CD14_Gd156,1.5504733442282983,0.14545403692818365,16.02045681937862,0.5813402891251016,0.07244036190865023,0.0,27.323520356444952,0.0,0.0024572998946814115,422
CD20_Nd142,0.5446072476874448,0.0864106451924802,16.02045681937862,0.24294638768877183,0.06662864432233205,0.0,109.82035979670935,0.0,0.0024572998946814115,422
CD31_Er168,0.48719147839103677,0.21739548875539788,16.02045681937862,0.4196987588785892,0.1754523074360326,0.0,10.243200055795823,0.0,0.0024572998946814115,422
CD3_Er170,1.7166540387916418,0.07034676647590588,16.02045681937862,0.4031787323284657,0.027395156304841923,0.0,10.405070951199644,0.0,0.0024572998946814115,422
CD44_Yb171,3.00740217931981,0.22732659617341808,16.02045681937862,1.2929488542260552,0.07249905431192916,0.0,24.501005360300507,0.0,0.0024572998946814115,422
CD45_RA_Er166,4.789083359378871,0.5417421430931978,16.02045681937862,3.176967399156585,0.13838161653463874,0.0,62.81447907081712,0.0,0.0024572998946814115,422
CD45_RO_Yb173,8.657821495046418,1.4949671076125162,16.02045681937862,7.580730933411359,0.19918607454305576,0.0,69.55982720795402,0.0,0.0024572998946814115,422
CD45_Y89,5.2996226849347465,1.3049788222211232,16.02045681937862,6.040378856734061,0.5246458261922637,0.1488910825543494,48.314286833125834,0.0,0.0024572998946814115,422
CD4_Yb176,2.0416082527343997,0.08874797907997788,16.02045681937862,0.5264640716417386,0.030740549033110458,0.0,14.033495954427673,0.0,0.0024572998946814115,422
CD56_NCAM_Sm149,0.19575014850093084,0.03795191540572598,16.02045681937862,0.06928928719586944,0.03134142437958604,0.0,5.100146386860671,0.0,0.0024572998946814115,422
CD66b_CEACAM_Tm169,0.4677179943655521,0.06637978615345196,16.02045681937862,0.1660627581380818,0.04926760987956871,0.0,6.282116386562727,0.0,0.0024572998946814115,422
CD68_Tb159,1.086021832872139,0.09431366332016568,16.02045681937862,0.3349622605889911,0.041279890801828194,0.0,17.44059160252883,0.0,0.0024572998946814115,422
CD8a_Nd146,0.0785765639099748,0.03679546163863198,16.02045681937862,0.06091356899967665,0.032870442716855006,0.0,38.935997796284646,0.0,0.0024572998946814115,422
CK8_CK18_Lu175,0.26863272963105855,0.021770166513461496,16.02045681937862,0.05412103806757927,0.014384182684247104,0.0,5.339672470544752,0.0,0.0024572998946814115,422
DNA1_Ir191,11.814514590390326,4.391608360254369,16.02045681937862,24.870105173041313,0.6752763390187969,0.14229868253542913,155.46280464967845,0.0,0.0024572998946814115,422
DNA2_Ir193,12.589672467094017,7.6120902287875305,16.02045681937862,43.199080966917236,1.1566681802908392,0.36778122257282386,264.3276154757676,0.0,0.0024572998946814115,422
ER_Dy164,0.23421831303416368,0.02357846293465998,16.02045681937862,0.054065083138773624,0.017805050606111074,0.0,4.866085508423394,0.0,0.0024572998946814115,422
E_Cadherin_Gd158,0.4531348183073636,0.03678736716544176,16.02045681937862,0.10647225814598132,0.024744926572234427,0.0,7.036451682660252,0.0,0.0024572998946814115,422
EpCAM_Pr141,0.14942429145574757,0.06097860387151275,16.02045681937862,0.10061064774227024,0.052963222019480304,0.0,36.41560467894043,0.0,0.0024572998946814115,422
FAP_Sm147,0.10718145028867873,0.03550610035852092,16.02045681937862,0.05291270244553465,0.032246156291091614,0.0,4.499766797816019,0.0,0.0024572998946814115,422
Fibronectin_Sm152,0.10988604970809934,0.03198673717801181,16.02045681937862,0.05000461026291538,0.029039109955537375,0.0,5.953174132306429,0.0,0.0024572998946814115,422
HER2_Nd148,0.20279956790523218,0.04933482447806834,16.02045681937862,0.08023648504654397,0.04174221741362206,0.0,86.54409330377082,0.0,0.0024572998946814115,422
HER2_cerbB2_Yb174,1.7813513455931136,0.07573280351951507,16.02045681937862,0.3416051298731718,0.02153464463226038,0.0,10.593130464237449,0.0,0.0024572998946814115,422
ICSK1_Pt195,1.1369984699827216,0.18938533114313513,16.02045681937862,0.5917078928584175,0.10760898051244952,0.0,12.769331092518089,0.0,0.0024572998946814115,422
ICSK2_Pt196,0.13049082478190885,0.4727147628875423,16.02045681937862,0.6143194095991937,0.45093231118544586,0.0,23.992904909414136,0.0,0.0024572998946814115,422
ICSK3_Pt198,0.2167177820521151,0.6742425741742573,16.02045681937862,0.8548174060875174,0.6436444309085466,0.03992043273143859,11.567443884944463,0.0,0.0024572998946814115,422
Ki_67_Dy161,0.3994050053153846,0.039236283560958804,16.02045681937862,0.10305686512830206,0.02574383062685694,0.0,8.481542633043082,0.0,0.0024572998946814115,422
N_Cadherin_Eu153,0.357072709179482,0.11730187051263041,16.02045681937862,0.23295146838633665,0.10037832031406074,0.0,8.702704275388854,0.0,0.0024572998946814115,422
PR_Nd145,0.11116113478671397,0.036978691648603616,16.02045681937862,0.05558155983186545,0.03333805986984646,0.0,5.939367962109534,0.0,0.0024572998946814115,422
SMA_Nd144,0.9977563071337345,0.09953310475706771,16.02045681937862,0.33506916129381287,0.039981842861991926,0.0,8.795324457200218,0.0,0.0024572998946814115,422
Vimentin_Sm154,6.382823688810613,0.3699683982490505,16.02045681937862,2.336246244756038,0.05502904609057575,0.0,72.57666375964739,0.0,0.0024572998946814115,422
